Filename	Segment label	F1 (Hz)	F2 (Hz)	F3 (Hz)
p112	b	204.82827231609025	1499.1400519340746	2556.074607280164
p112	a	656.1557243078842	1020.4186748569899	2572.2661373551496
p112	l	353.70306072994754	1031.6297364648253	2296.149286592947
p112	o	418.5496638990434	725.9093636765891	2307.6743327378786
p112	rf	427.96417405286974	1648.5986385109425	3307.0812144481474
p112	sp	464.2720403480057	1781.3454868333133	2551.1070264449786
p112	a	306.8348895424049	1137.1801873067286	2498.149711361669
p112	rf	387.4867957593086	1108.879546540149	2086.595485825218
p112	b	282.8830840911146	684.0502818556304	2197.287248400362
p112	u	341.7148754354338	724.4445262172709	2352.410499057938
p112	s	762.8795030172696	1557.5525408070225	3254.192139215352
p112	t	1004.0711178597649	2631.403448480627	3051.6812357565586
p112	o	353.7360514501438	861.9636155346905	2358.413206409282
p112	sp	1153.952602584156	1525.9245315633013	2946.307338094661
p112	s	979.3774572996617	2228.480849061741	3500.9565528854014
p112	a	591.7839153232245	1303.5648476627043	2618.076381318827
p112	n	341.36939020038005	895.0000123594223	2310.4910174
p112	a	766.6899771335083	1397.378432185861	2690.569818411748
p112	o	437.7207324545361	657.2979633064412	2412.800043582188
p112	rf	274.48163000818784	1472.4802925467836	1920.725880115963
p112	j	354.4163792336595	1949.9903779814042	2620.772518902606
p112	a	469.0016664066105	1564.9810230885778	2394.9849258820486
p112	sp	966.9124470623575	1709.6745256718095	2659.3481421070396
p112	l	233.20188813859562	1027.8669017350405	2244.2990470757704
p112	i	358.03152482499183	1349.2498228289028	2402.822013595503
p112	b	322.9107626323053	849.5955495198448	2147.50796196248
p112	rf	325.51522437075494	1148.5440624826965	2530.7260359558436
p112	o	369.55126529058725	889.6599933862158	2262.849171838806
p112	sp	1312.921679643111	1550.9740640785253	2676.6450539277052
p112	b	294.9864478396947	1058.5426138825298	2527.4155428556123
p112	a	677.1105414995081	1071.8944259428185	2551.680524968659
p112	l	347.51793064854405	1341.7892141236896	2247.1760119526357
p112	w	423.9126040112544	855.012515005938	2455.539788316233
p112	a	537.5494973931462	1129.415497538458	2427.305336920711
p112	T	474.3220130616452	1615.0102811020936	3249.7545053803656
p112	j	335.77184970315756	1859.6463653965732	2517.7006493665504
p112	o	383.1125693505144	1491.5051253146835	2246.1396230818254
p112	n	335.3115799100305	987.3528038403176	2589.342751231828
p112	sp	1048.152115847127	1775.5056924308017	3156.3665539478047
p112	k	1170.5470587957363	2260.6256928855155	3254.1079029346765
p112	a	570.6543531448879	1409.377423154792	2149.3062330910398
p112	x	460.3795366435445	1465.2402328276291	2114.0775382602715
p112	a	524.1938117353968	1142.1922392512217	2174.44205289922
p112	s	552.3910017965171	1658.5677654852748	2608.7238350039297
p112	a	566.4207827032179	1225.645565759693	2627.3518220011065
p112	m	305.0026570689944	1043.2785816504645	2545.3205771331445
p112	a	562.2555926077624	1270.29576675093	2419.46369219897
p112	rf	326.58675125700125	1424.4240237173012	2243.1028076959856
p112	i	345.98624215608214	2239.8792697954577	2990.1196565648947
p112	L	304.31455883376395	2154.2432247210213	2948.8208961145547
p112	a	453.5161693329978	1623.7482602472116	2303.90962593515
p112	s	1285.1013117051475	2262.7960190825697	3730.922010985109
p112	sp	675.1353421620876	2030.7005580233338	3105.7089135642614
p112	b	1556.5793265057973	2546.9891570734308	3547.3290442238495
p112	a	646.1494661100272	1057.1669884896	2501.7653782025973
p112	rf	569.4972667914085	1697.7899947589622	2262.499519816945
p112	o	447.4029513589697	816.2799308084262	2315.369250616865
p112	m	288.95924450057714	971.1319023082584	2182.466542091095
p112	e	425.0863406494511	1616.8103101866132	2379.2232265523544
p112	t	313.2347922098447	1589.260871890474	2779.121932710029
p112	rf	328.2657299167283	1317.1060165212932	2472.037465282637
p112	o	410.7664354438517	911.274745956205	2348.560100409587
p112	sp	1160.9433390711422	2413.8045968279193	3466.180861689108
p112	k	1211.8226965611682	1719.404995875485	3046.2320200397744
p112	a	604.5378088728991	1369.0224147779074	2426.0298787454676
p112	rf	371.37333153663207	1413.911043984598	2407.989842838402
p112	b	292.94914207045025	745.8836427784923	1380.0352464510563
p112	o	400.23412715991583	676.0870117949619	2254.1167753989344
p112	n	321.52121616368214	775.2797031817356	2360.6266716955497
p112	o	390.3738232657559	884.7119192775739	2503.335158858617
p112	sp	1337.5648269128728	2242.18768121537	3508.237968134237
