Participant,Vowel,F1 (Hz),F2 (Hz),F3 (Hz),t1_ph,t2_ph,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,Gender
p119,a,684.078279936822,1492.0179512597995,2815.5417467473467,54.918,55.098,0.17999999999999972,54.488,55.098,música,False,True,k,sp,Male
p119,a,873.3559495862926,1490.6657323030279,2825.861188780554,57.037,57.306999999999995,0.2700000000000031,56.747,57.306999999999995,lucha,False,True,tS,sp,Male
p119,a,766.0067224080127,1483.4953127014676,2668.9495684191893,58.775,58.965,0.19000000000000486,58.505,58.965,boca,False,True,k,sp,Male
p119,a,718.090854109732,1596.9100772169907,2777.7969025072716,60.983999999999995,61.083999999999996,0.10000000000000142,60.983999999999995,61.714,hambriento,True,False,sp,m,Male
p119,a,817.329374115415,1649.249059673669,2836.4832835385755,67.265,67.445,0.1799999999999926,66.795,67.445,cebolla,False,True,L,sp,Male
p119,a,648.6293435231828,1148.3188058969015,2326.843836882885,71.324,71.374,0.049999999999997165,71.184,71.994,vagoneta,False,False,b,G,Male
p119,a,819.579003403749,1586.0584514783598,2809.372304557597,71.78399999999999,71.994,0.20999999999999372,71.184,71.994,vagoneta,False,True,t,sp,Male
p119,a,706.6837203886536,1454.2013323196256,2659.4074794678104,74.99600000000001,75.146,0.15000000000000568,74.956,75.426,las,False,False,l,s,Male
p119,a,807.0380582457202,1499.712766522977,2563.0308013707668,75.806,75.956,0.15000000000000568,75.806,76.436,águilas,True,False,sp,g,Male
p119,a,647.2315102963129,1540.5601680177303,2702.9947582347572,76.156,76.286,0.12999999999999545,75.806,76.436,águilas,False,False,l,s,Male
p119,a,738.0581594692611,1373.7457106660815,2586.110654051811,83.63600000000001,83.726,0.09000000000000341,83.486,84.406,balsámico,False,False,b,l,Male
p119,a,675.9637795279355,1388.208597785362,2553.859727322243,85.95200000000001,86.012,0.060000000000002274,85.81200000000001,86.552,balsero,False,False,b,l,Male
p119,a,658.8564705808475,1510.7436177946356,2598.3083035658387,87.594,87.684,0.09000000000000341,87.594,88.154,asado,True,False,sp,s,Male
p119,a,665.952124716178,1378.4662868533173,2498.0522899088205,91.01299999999999,91.17299999999999,0.1599999999999966,90.863,91.463,valle,False,False,b,L,Male
p119,a,625.5657392857672,1252.7333653959765,2560.174834441433,92.414,92.494,0.0799999999999983,92.314,92.964,basura,False,False,b,s,Male
p119,a,834.4691439729338,1651.9380712777606,2885.7470604885016,92.744,92.964,0.21999999999999886,92.314,92.964,basura,False,True,rf,sp,Male
p119,a,620.0824792781926,1607.5765054653687,2522.010395372737,94.103,94.163,0.060000000000002274,94.053,94.443,tareas,False,False,t,rf,Male
p119,a,615.5130782961157,1554.28274826426,2398.832512245744,94.633,94.743,0.10999999999999943,94.443,94.993,hechas,False,False,tS,s,Male
p119,a,740.2085082062488,1371.9730505278853,2560.7223791129927,96.119,96.169,0.049999999999997165,96.029,96.749,marbete,False,False,m,rf,Male
p119,a,695.8353524262288,1388.1057536178091,2389.75483008978,102.969,103.04899999999999,0.0800000000000125,102.819,103.65899999999999,vacante,False,False,b,k,Male
p119,a,814.4237733944673,1426.18711850414,2823.435182451917,103.15899999999999,103.249,0.0899999999999892,102.819,103.65899999999999,vacante,False,False,k,n,Male
p119,a,690.6214130942069,1248.0778323449222,2398.035557733612,105.13799999999999,105.27799999999999,0.14000000000000054,104.99799999999999,105.818,galvano,False,False,G,l,Male
