Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,upper_f1,lower_f1,upper_f2,lower_f2,upper,lower,Speech Rate,stress_vowel,vowel_ind,stress,Delta F.50,Delta F.25,Delta F.75,F1.50_norm,F2.50_norm,F1.25_norm,F2.25_norm,F1.75_norm,F2.75_norm
p112,a,537.5494973931462,1129.4154975384579,2427.305336920711,533.4520255579956,1050.9140257115441,2456.9683940965706,507.90885735107287,1145.7556640480334,2012.5296103228393,Male,CBAS,26.158,26.208000000000002,textgrids/cbas/p112.TextGrid,0.049999999999997165,25.848000000000003,26.608,valuación,False,False,w,T,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,2,1,unstressed,942.4926542274492,919.2481091972725,938.576788207814,0.5703487395705695,1.198328169957173,0.5803134324897651,1.1432321863889914,0.5411478993859528,1.2207372677901205
p112,a,570.6543531448879,1409.3774231547918,2149.3062330910398,482.3922069947747,1420.1426990210407,2022.5636871136512,561.8708683733882,1338.0995668288858,2201.164730734562,Male,CBAS,28.394000000000002,28.474,textgrids/cbas/p112.TextGrid,0.08000000000000185,28.304000000000002,28.674,cajas,False,False,k,x,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,0,0,stressed,942.4926542274492,919.2481091972725,938.576788207814,0.6054735287169394,1.4953723159890757,0.5247682341343303,1.5448959696650029,0.5986413423309401,1.4256687184688952
p112,a,524.1938117353968,1142.1922392512215,2174.44205289922,500.2479459706098,1196.8530678796842,2291.7880381514465,556.9521634238934,1298.6163491480866,1906.7896325926945,Male,CBAS,28.514,28.574,textgrids/cbas/p112.TextGrid,0.060000000000002274,28.304000000000002,28.674,cajas,False,False,x,s,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,0,1,unstressed,942.4926542274492,919.2481091972725,938.576788207814,0.5561781403644708,1.2118845002430962,0.544192521002244,1.301991329549569,0.5934007429348193,1.3836016034742964
p112,a,566.4207827032178,1225.645565759693,2627.3518220011065,501.9043402573275,1295.2833799929767,2529.907197868687,539.6132524806195,1143.223870600351,2721.7465917068466,Male,CBAS,28.674,28.714000000000002,textgrids/cbas/p112.TextGrid,0.03999999999999915,28.674,29.444000000000003,amarillas,True,False,s,m,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,2,0,unstressed,942.4926542274492,919.2481091972725,938.576788207814,0.6009816417800165,1.3004298338689346,0.5459944222192769,1.4090683103216548,0.5749271229165979,1.2180397863698555
p112,a,562.2555926077624,1270.29576675093,2419.46369219897,479.8105933641182,1121.2566741336634,2354.782514329232,547.2634755349526,1358.8585281122016,2310.463407438955,Male,CBAS,28.814,28.854,textgrids/cbas/p112.TextGrid,0.03999999999999915,28.674,29.444000000000003,amarillas,False,False,m,rf,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,2,1,unstressed,942.4926542274492,919.2481091972725,938.576788207814,0.5965623075000379,1.3478044216611718,0.5219598371359281,1.2197541261333609,0.5830779989562035,1.447786206930286
p112,a,453.5161693329977,1623.7482602472116,2303.90962593515,441.75323716917535,1869.8300556897955,2479.6392521180733,446.9512801526986,1565.8916055342218,2290.240525520773,Male,CBAS,29.094,29.184,textgrids/cbas/p112.TextGrid,0.08999999999999986,28.674,29.444000000000003,amarillas,False,False,L,s,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,2,2,stressed,942.4926542274492,919.2481091972725,938.576788207814,0.48118801488669416,1.7228232527479805,0.4805593101028334,2.034086376661261,0.4762010799416204,1.6683681348270372
p112,a,646.1494661100272,1057.1669884896,2501.765378202597,620.6931936129578,959.3933143748493,2432.9409285557667,654.2513944060286,1094.8826142562036,2482.991069879621,Male,CBAS,30.855999999999998,30.906,textgrids/cbas/p112.TextGrid,0.049999999999997165,30.646,31.465999999999998,barómetro,False,False,b,rf,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,1,0,unstressed,942.4926542274492,919.2481091972725,938.576788207814,0.6855750686350641,1.12167132947699,0.6752183522628882,1.043671784337564,0.6970675203414131,1.1665349367384752
p112,a,604.5378088728991,1369.0224147779077,2426.029878745468,351.37479355408533,1354.1107156317014,2392.4200342769072,624.6278404273111,1333.2817172899365,2391.321517045956,Male,CBAS,32.824,32.894,textgrids/cbas/p112.TextGrid,0.07000000000000027,32.764,33.364000000000004,carbono,False,False,k,rf,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,1,0,unstressed,942.4926542274492,919.2481091972725,938.576788207814,0.6414244250725031,1.4525549972589231,0.3822415189528332,1.4730633678585099,0.6655053142961487,1.4205355747565422
p112,a,566.1862876054264,1383.2647563052146,2535.922679198099,528.2271934511855,1413.3884466534616,2399.9100568264785,553.6045080385389,1371.7605084254162,2611.7412915826567,Male,CBAS,41.736999999999995,41.857,textgrids/cbas/p112.TextGrid,0.11999999999999746,41.227,41.937,pulverizar,False,False,T,rf,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,3,0,unstressed,942.4926542274492,919.2481091972725,938.576788207814,0.6007328386760988,1.4676663527304215,0.5746296219335784,1.5375483860257206,0.5898340071840378,1.4615325305932125
p112,a,582.1462973810583,1287.0491041408495,2381.3958368855288,578.4214903187998,1183.388488776924,2474.1744124093907,580.7219865525602,1455.4888329241107,2129.3141203373325,Male,CBAS,43.388999999999996,43.449,textgrids/cbas/p112.TextGrid,0.059999999999995175,43.288999999999994,43.888999999999996,vaqueta,False,False,b,k,786.5012766292012,410.6918855202422,1832.254156322445,711.5070949068412,3053.600962350595,1908.4721928440695,1.5452327417117147,1,0,unstressed,942.4926542274492,919.2481091972725,938.576788207814,0.6176666680317389,1.365579984488929,0.6292332663310046,1.2873439465764152,0.6187261328520947,1.5507402816804428
