Participant,Vowel,F1 (Hz),F2 (Hz),F3 (Hz),t1_ph,t2_ph,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,Gender
p124,a,779.8258516165829,1818.1460399336627,3005.5091882586444,226.75900000000001,226.81900000000002,0.060000000000002274,226.50900000000001,227.36900000000003,velatorio,False,False,l,t,Female
p124,a,822.2120026935478,1898.9806580567927,2946.493750092117,234.49099999999999,234.59099999999998,0.09999999999999433,234.41099999999997,234.96099999999998,charcos,False,False,tS,rf,Female
p124,a,869.3717786821949,1691.8772697257834,3016.6427653289115,235.34099999999998,235.43099999999998,0.09000000000000341,234.96099999999998,235.821,olvidados,False,False,D,D,Female
p124,a,789.1307939576953,1720.4510256609622,2963.8799148372364,238.088,238.168,0.0800000000000125,237.838,238.648,convalecer,False,False,V,l,Female
p124,a,865.2155594281057,1740.3931730137556,3187.153593295145,241.825,241.885,0.060000000000002274,241.755,242.435,bajeza,False,False,b,x,Female
p124,a,854.0548485645462,1790.9076610188956,2925.8529855148713,242.275,242.435,0.1599999999999966,241.755,242.435,bajeza,False,True,T,sp,Female
p124,a,781.8164308921713,1696.6509077511441,2932.70749740217,249.545,249.765,0.21999999999999886,249.065,249.765,cintura,False,True,rf,sp,Female
p124,a,789.1089554065053,1750.613096138707,3035.057375577703,259.631,259.751,0.12000000000000455,259.501,260.08099999999996,base,False,False,b,s,Female
p124,a,812.2698114484358,1601.1877499335556,3105.1854931300813,261.986,262.046,0.060000000000002274,261.926,262.596,naranjas,False,False,n,rf,Female
p124,a,839.315387135984,1732.7190842325306,3024.718582110345,262.106,262.176,0.06999999999999318,261.926,262.596,naranjas,False,False,rf,ng,Female
p124,a,694.5155346914963,1913.253679299529,3211.8647679769733,262.366,262.436,0.06999999999999318,261.926,262.596,naranjas,False,False,x,s,Female
p124,a,818.4562831116265,1557.352232318805,3015.5652253495814,262.846,262.95599999999996,0.11000000000001364,262.626,263.436,amargas,False,False,m,rf,Female
p124,a,813.9215862232915,1815.7834569260406,2874.0180588201893,263.126,263.20599999999996,0.08000000000004093,262.626,263.436,amargas,False,False,G,s,Female
p124,a,820.7156194792349,1735.418636438392,2761.2563603487,269.629,269.699,0.06999999999999318,269.539,270.069,cabaret,False,False,k,b,Female
p124,a,777.4131619404955,1791.1471686802856,2956.590657766985,269.759,269.849,0.08999999999997499,269.539,270.069,cabaret,False,False,b,rf,Female
p124,a,827.7616162571934,1814.6990875371664,2972.493356357282,276.847,277.007,0.16000000000002498,276.467,277.007,vaca,False,True,k,sp,Female
p124,a,734.3939270512295,1640.4237847604834,2846.6612211936986,282.888,282.948,0.060000000000002274,282.768,283.358,trabajas,False,False,rf,b,Female
p124,a,838.5147984982405,1593.3622745592431,2991.4997985211494,283.048,283.098,0.05000000000001137,282.768,283.358,trabajas,False,False,b,x,Female
p124,a,797.4763564503728,1667.4593230523649,3046.044029196737,283.358,283.418,0.060000000000002274,283.358,283.878,afuera,True,False,s,f,Female
p124,a,845.5539178821167,1756.735105935219,2939.806404882628,283.728,283.878,0.14999999999997726,283.358,283.878,afuera,False,True,rf,sp,Female
p124,a,742.1733721817741,1853.683170211355,2898.355364245425,288.45099999999996,288.531,0.07999999999998407,288.421,289.01099999999997,vaciar,False,False,b,s,Female
