Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph
s053,e,495.77804653534884,2118.31377387946,2982.669967626432,406.12776944835684,2117.837234232797,2967.0338257198564,406.32296816052326,2071.861312471467,2902.5993770908176,Female,DIMEx100,0.185,0.264,textgrids/dime/s05348.TextGrid,0.07900000000000001,0.185,0.48,esta,True,False,n,s
s053,a,643.6371640642582,1568.6603224003798,3170.1625632161335,626.1370453949115,1704.2962909323664,3165.4457221501984,656.3062495446418,1426.2859051288985,3191.4137980507535,Female,DIMEx100,0.397,0.48,textgrids/dime/s05348.TextGrid,0.08299999999999996,0.185,0.48,esta,False,True,t,o
s053,o,475.2337603435984,1059.8232474865472,2963.5100207484365,530.1028311132736,1200.7616366778313,3057.662775089878,358.3174655346618,1069.5073773215133,3035.7170403945024,Female,DIMEx100,0.48,0.57,textgrids/dime/s05348.TextGrid,0.08999999999999997,0.48,0.718,hoja,True,False,a,x
s053,a,637.2441176890046,1522.6657045724814,3122.172141443192,487.9061588958991,1449.1646229979349,3097.4108655726973,713.260420428616,1667.9141701536985,3111.2649900342217,Female,DIMEx100,0.651,0.718,textgrids/dime/s05348.TextGrid,0.06699999999999995,0.48,0.718,hoja,False,True,x,d
s053,e,501.8587596877072,1931.4877583723787,2675.225969978046,529.517620984653,2143.669705744882,2910.397908078733,422.84929882442793,1445.8377836431996,2602.1361667151164,Female,DIMEx100,0.783,0.882,textgrids/dime/s05348.TextGrid,0.09899999999999998,0.718,0.882,de,False,True,d,g
s053,u,438.62753124722747,945.9634133164867,2936.9782162955944,395.9705838784092,828.3584945945987,3018.485950928709,468.01130932497915,1075.8233182525075,2789.2635172663026,Female,DIMEx100,0.959,1.004,textgrids/dime/s05348.TextGrid,0.04500000000000004,0.882,1.252,web,False,False,g,e
s053,e,554.66503543291,1763.1543597902391,3033.341681838626,543.2533949807798,1460.5288203066793,2789.670848275936,523.0994193193602,1782.7658495409578,3010.238885682587,Female,DIMEx100,1.004,1.098,textgrids/dime/s05348.TextGrid,0.09400000000000008,0.882,1.252,web,False,False,u,b
s053,a,915.44746352321,1561.9602270299724,3275.850630783496,839.2902070399008,1650.3405467501834,3195.6683228971033,833.8166812566024,1265.3576835714107,3166.405782603138,Female,DIMEx100,1.284,1.385,textgrids/dime/s05348.TextGrid,0.10099999999999998,1.284,1.943,aparecerán,True,False,.sil,p
s053,a,673.3729934848124,1584.6845197818043,2929.0519861714984,676.3232934295238,1425.4991121252967,2737.4562113847905,638.5438792451218,1714.5808372491515,2812.4637716765324,Female,DIMEx100,1.489,1.538,textgrids/dime/s05348.TextGrid,0.04899999999999993,1.284,1.943,aparecerán,False,False,p,r(
s053,e,407.3647259588992,2116.157231171203,2926.8942261312804,413.00502756603834,2059.4946858011886,2942.764042450653,387.9244476374793,2226.631606597631,2908.457530947957,Female,DIMEx100,1.583,1.621,textgrids/dime/s05348.TextGrid,0.038000000000000034,1.284,1.943,aparecerán,False,False,r(,s
s053,e,450.2223214511515,2148.9836927885294,2865.205298646492,381.6054814544017,2170.049671143787,2920.9644861345946,463.6476901823819,2094.6380428266166,2940.424627471278,Female,DIMEx100,1.701,1.773,textgrids/dime/s05348.TextGrid,0.07199999999999984,1.284,1.943,aparecerán,False,False,s,r(
s053,a,847.2804500972871,1834.2610820360194,3165.8003081134843,802.7691720672008,1812.1533383907708,3108.613031796286,823.9930521492887,1766.7866560177295,3253.9118774130507,Female,DIMEx100,1.82,1.904,textgrids/dime/s05348.TextGrid,0.08399999999999985,1.284,1.943,aparecerán,False,False,r(,n
s053,o,343.30812779997365,1447.5095646686425,3464.6652048752594,337.63304655893944,1442.7883705542931,3479.5834203829177,309.6789165234338,1511.519820822516,3418.044109654483,Female,DIMEx100,1.979,2.054,textgrids/dime/s05348.TextGrid,0.07499999999999973,1.943,2.506,noticias,False,False,n,t
s053,i,255.26133646897446,2770.534259748361,3250.2667962761025,261.52300336167986,2699.6457073284923,3289.5567890181374,243.03799282645957,2770.678897467156,3338.8113228412835,Female,DIMEx100,2.171,2.262,textgrids/dime/s05348.TextGrid,0.09100000000000019,1.943,2.506,noticias,False,False,t,s
s053,i,332.32878272287996,2280.529997818885,3036.3075970739674,302.2213115578413,2286.029718180488,3056.1694758901976,427.686749218962,2204.4794909919974,2986.3072250205405,Female,DIMEx100,2.337,2.38,textgrids/dime/s05348.TextGrid,0.042999999999999705,1.943,2.506,noticias,False,False,s,a
s053,a,469.3013790997799,1857.972118442232,3009.8776419250726,478.2608044671106,1974.2077150621094,3037.5790181858856,412.1135413332526,1812.4458960088507,3077.373166551982,Female,DIMEx100,2.38,2.445,textgrids/dime/s05348.TextGrid,0.06499999999999995,1.943,2.506,noticias,False,False,i,s
s053,e,643.923872225621,2442.5287076137365,3173.072549542665,441.3108451837011,1980.3444116308701,2920.5505905135783,448.62765180118424,2616.425849548356,3162.391472525161,Female,DIMEx100,2.506,2.666,textgrids/dime/s05348.TextGrid,0.16000000000000014,2.506,2.666,e,True,True,s,i
s053,i,364.6543606587298,2885.1395148724446,3377.882453826304,424.05737127268793,2908.5180940446367,3268.508350537657,352.1983222576759,2784.0751642035543,3360.6119279591885,Female,DIMEx100,2.666,2.739,textgrids/dime/s05348.TextGrid,0.07299999999999995,2.666,3.383,información,True,False,e,n
s053,o,466.43092174718737,1105.7624031959099,2979.5031501956896,350.9632944489363,1028.7459743454222,2952.5348678854107,541.736816186618,1266.0500592641038,2992.77075719565,Female,DIMEx100,2.854,2.912,textgrids/dime/s05348.TextGrid,0.05799999999999983,2.666,3.383,información,False,False,f,r(
s053,a,498.1684001105499,1416.9307267204686,2983.674545943154,508.2490216959965,1303.7060996425578,3126.707819514587,433.96362900339324,1141.6736912277388,2903.980428803076,Female,DIMEx100,3.014,3.1,textgrids/dime/s05348.TextGrid,0.0860000000000003,2.666,3.383,información,False,False,m,s
s053,i,281.1094974693493,2105.1625075078427,2967.629984846504,264.95084193273317,2147.4385522506736,2864.123697195247,291.2822015161312,1876.3445855106336,2729.694886056405,Female,DIMEx100,3.219,3.259,textgrids/dime/s05348.TextGrid,0.040000000000000036,2.666,3.383,información,False,False,s,o
