Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,upper_f1,lower_f1,upper_f2,lower_f2,upper,lower,Speech Rate,stress_vowel,vowel_ind,stress,Delta F.50,Delta F.25,Delta F.75,F1.50_norm,F2.50_norm,F1.25_norm,F2.25_norm,F1.75_norm,F2.75_norm,Dur_ms,Dur_norm,Dur_log
s051,a,613.7875639629278,1778.3809019084533,1948.3849200264374,577.3187684451747,1670.117321998575,1934.783357515453,604.612055890271,1673.3681602101324,2310.863950723393,Female,DIMEx100,1.298,1.367,textgrids/dime/s05101.TextGrid,0.06899999999999995,0.897,1.656,actualización,False,False,s,s,997.5642504260572,586.7769497463469,2224.9397870027533,1345.0094311391056,3382.3015835765414,1114.2554700208466,2.19526610565422,4,0,unstressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.5268768776021487,1.5265668967535682,0.5011491184740005,1.4497672159903603,0.532442843566132,1.4736274159194227,68.99999999999994,151.47336129014107,4.234106504597259
s051,a,794.4096396453994,1758.3254161174732,2090.7433751293834,743.5224210174582,1058.92107527968,1920.0486994498776,737.5287103658943,1939.8824798225248,2252.490501296169,Female,DIMEx100,1.4340000000000002,1.504,textgrids/dime/s05142.TextGrid,0.07000000000000006,1.4340000000000002,1.798,aquella,True,False,s,k,997.5642504260572,586.7769497463469,2224.9397870027533,1345.0094311391056,3382.3015835765414,1114.2554700208466,2.19526610565422,1,0,unstressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.6819233478290162,1.5093512144022978,0.6454243759683684,0.9192103087851514,0.6494939687907038,1.7083293885365032,70.00000000000006,153.66862739579554,4.24849524204936
s051,a,816.4320473750612,1638.7131894154545,2423.422810804788,715.5537145049823,1014.3686904440613,1898.2565769408343,676.5925181903233,1007.138601369206,1729.4650689741766,Female,DIMEx100,1.385,1.457,textgrids/dime/s05136.TextGrid,0.07200000000000006,0.953,1.457,utiliza,False,True,s,p,997.5642504260572,586.7769497463469,2224.9397870027533,1345.0094311391056,3382.3015835765414,1114.2554700208466,2.19526610565422,2,1,unstressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.7008274412045319,1.4066757608285816,0.6211457739555942,0.8805360275965863,0.5958313943812685,0.8869220114849283,72.00000000000006,158.059159607104,4.276666119016056
s051,a,821.2041879708063,1705.123068881828,2887.4229886890016,808.62868607065,1607.684040838405,2708.756361942777,772.4513959646672,1793.5133659348858,2293.205500220438,Female,DIMEx100,1.034,1.108,textgrids/dime/s05119.TextGrid,0.07400000000000008,0.967,1.236,paso,False,False,p,s,997.5642504260572,586.7769497463469,2224.9397870027533,1345.0094311391056,3382.3015835765414,1114.2554700208466,2.19526610565422,0,0,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.7049238593859805,1.463682178015117,0.7019407220875405,1.395571188549361,0.6802481256819307,1.579431549915281,74.00000000000009,162.44969181841248,4.304065093204171
s051,a,781.9170050794064,1661.550796496361,2325.2536742911484,737.9707317575766,1452.2410177377694,2274.836620378583,738.5195301737808,1748.7858302512734,2369.410145323057,Female,DIMEx100,1.159,1.207,textgrids/dime/s05120.TextGrid,0.048000000000000036,1.096,1.3,para,False,False,p,r(,997.5642504260572,586.7769497463469,2224.9397870027533,1345.0094311391056,3382.3015835765414,1114.2554700208466,2.19526610565422,0,0,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.6711996370867233,1.4262796234956647,0.6406051593921877,1.2606368364069274,0.6503665198932383,1.540042893911686,48.000000000000036,105.37277307140265,3.8712010109078916
s051,a,864.8534580695749,1414.2047768780478,1920.334586777068,811.4937279222032,1413.7134858315449,1923.6212858218646,874.7552184378226,1209.8456951527614,1883.8036175273435,Female,DIMEx100,2.514,2.573,textgrids/dime/s05143.TextGrid,0.05900000000000016,2.445,2.712,tanto,False,False,t,n,997.5642504260572,586.7769497463469,2224.9397870027533,1345.0094311391056,3382.3015835765414,1114.2554700208466,2.19526610565422,0,0,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.7423925089473474,1.213957142306248,0.7044277591921265,1.2271925077152006,0.7703405041163716,1.0654330755195671,59.00000000000016,129.52070023359934,4.077537443905722
s051,e,599.7253199134033,1982.7255035844405,2437.1252059347744,597.7945780329045,1973.7890771606887,2394.968967471604,580.3524115669019,1972.8468458864625,2491.501747530452,Female,DIMEx100,0.913,0.967,textgrids/dime/s05145.TextGrid,0.05399999999999994,0.34600000000000003,0.967,encontraste,False,True,t,l,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,2,2,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.5148058099039762,1.701976846396018,0.5189234131718296,1.7133734604483526,0.5110789394203273,1.7373589797139295,53.999999999999936,118.54436970532775,3.988984046564273
s051,e,444.0753609375601,2043.9469649073667,2830.0845584971253,462.9038286815036,2130.600560600511,2985.906583839921,415.5632486836,1873.152390171809,2680.1220491953554,Female,DIMEx100,1.53,1.569,textgrids/dime/s05133.TextGrid,0.03899999999999992,1.284,2.094,contemporánea,False,False,t,m,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,3,3,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.38119547108478175,1.7545295116468445,0.4018297314441212,1.8494957225118456,0.3659597516375559,1.6495645022943104,38.999999999999915,85.6153781205144,3.663561646129644
s051,e,516.4533766756014,2278.697685832288,2933.7827738044152,508.9470023794708,2237.8468846384017,2649.8413808000087,489.8445135655833,2334.3311823793547,3010.349734808621,Female,DIMEx100,0.322,0.387,textgrids/dime/s05148.TextGrid,0.065,0.052000000000000005,0.769,contenido,False,False,t,n,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,2,2,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.4433249523223677,1.9560401549339184,0.441798111430494,1.9425922987688675,0.4313744708978515,2.055694921168962,65.0,142.6922968675243,4.174387269895637
s051,e,593.609853669253,2056.540087355209,2123.7477712731047,551.0211195237594,1933.219629283554,2127.3819040153526,600.6501146516079,2090.9921464215477,2098.282468347214,Female,DIMEx100,2.756,2.806,textgrids/dime/s05111.TextGrid,0.05000000000000026,2.633,3.104,enteraste,False,False,t,r(,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,2,1,unstressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.5095562774126436,1.765339481454218,0.4783210998900913,1.6781566198537552,0.5289538174400328,1.8414019261918155,50.00000000000026,109.76330528271158,3.9120230054281513
